name,Price Discounted,Price Full
"Placa de Video Afox GeForce GTX 750TI, 4GB, GDDR5, 128-bit, AF750TI-4096D5H1",769.90,874.89
"Placa de Video Afox GeForce GTX 750TI, 4GB, GDDR5, 128-bit, AF750TI-4096D5H1-V2",799.90,908.98
"Placa de Video Afox GeForce GT 710, 2GB, DDR3, 64-bit, AF710-2048D3L5",369.90,420.34
"Placa de Video Afox Radeon R5 230, 1GB, DDR3, 64-bit, AFR5230-1024D3L9-V2",199.90,227.16
"Placa de Video Afox GeForce GT240, 1GB, DDR3, 128-Bit, AF240-1024D3L2-V2",206.90,235.11
"Placa de Video Afox GeForce GT 610, 2GB, DDR3, 64-Bit, AF610-2048D3L7-V6",259.90,295.34
"Placa de Video Mancer GeForce RTX 2060 Heimdall, 6GB, GDDR6, 192-bit, MCR-RTX2060-HLL",2551.91,2899.9
"Placa de Video Asus Radeon RX 6750 XT Dual OC Edition, 12GB, GDDR6, 192-bit, DUAL-RX6750XT-O12G",5999.98,6818.16
"Placa de Video Afox GeForce GT610, 1GB, DDR3, 64-Bit, AF610-1024D3L5",207.90,236.25
"Placa de Video PNY GeForce RTX 2060, 12GB, GDDR6, 192-bit, VCG206012DFPPB1",2099.06,2385.3
"Placa de Video Afox Radeon R5 230 1GB DDR3 64-bit, AFR5230-1024D3L4",195.90,222.61
"Placa de Video PNY GeForce GTX 1650, 4GB, GDDR6, 128-bit, VCG16504D6SFMPB1",1499.04,1703.46
"Placa de Video XFX Radeon RX 6800 XT Speedster, 16GB, GDDR6, 256-bit, RX-68XTALFD9",4999.98,5681.8
"Placa de Video XFX Radeon RX 6750 XT Speedster, 12GB, GDDR6, 192-bit, RX-675XYTBDP",4298.99,4885.22
"Placa de Video XFX Radeon RX 6750 XT Ultra Speedster, 12GB, GDDR6, 192-bit, RX-675XYLUDP",5999.90,6818.07
"Placa de Video XFX Radeon RX 6650 XT Speedster, 8GB, GDDR6, 128-bit, RX-665X8TBDY",2998.99,3407.94
"Placa de Video XFX Radeon RX 6650 XT Ultra, 8GB, GDDR6, 128-bit, RX-665X8LUDY",3199.98,3636.34
"Placa de Video XFX Radeon RX 6600 XT, 8GB, GDDR6, 128-bit, RX-66XT8DFDQ",2599.99,2954.53
"Placa de Video XFX Radeon RX 6500 XT, 4GB, GDDR6, 64-bit, RX-65XT4DBDQ",1298.99,1476.13
